variant,side,subset,n,n_breach,breach_rate,breach_rate_ci_low,breach_rate_ci_high,breach_rate_ci_excludes_alpha,kupiec_pvalue,chris_ind_lr_day,chris_ind_pvalue_day,z1,z1_ci_low,z1_ci_high,low_support
fhs,long,ramp,8140,341,0.0418918918918918,0.0357493857493857,0.048034398034398,True,0.0005628599387169,103.68607864267554,2.3705104467064747e-24,-0.0267306758697813,-0.0730815119085316,0.023196811335153,False
fhs,long,bucket_negative,1227,58,0.0472697636511817,0.0274858528698464,0.0694925287825589,False,0.6579953702190378,103.68607864267554,2.3705104467064747e-24,0.583320156818552,0.144208008650951,1.089968241686733,True
fhs,long,bucket_0_50,4149,155,0.0373583996143649,0.0282524768853836,0.0471131138210594,True,9.464400271688924e-05,103.68607864267554,2.3705104467064747e-24,-0.1389202762290418,-0.193286792016726,-0.0710103126614314,False
fhs,long,bucket_50_100,14025,906,0.0645989304812834,0.0565048678332082,0.0736235477585051,True,2.8266805056424463e-14,103.68607864267554,2.3705104467064747e-24,0.0400965438543861,-0.001411998718858,0.0829142239103518,False
fhs,long,bucket_100_150,10184,480,0.0471327572663,0.0394318463963218,0.0552999571728277,False,0.1802612145677033,103.68607864267554,2.3705104467064747e-24,-0.1112073723744474,-0.1444324572898055,-0.0769462318015973,False
fhs,long,bucket_150_250,5749,138,0.0240041746390676,0.0166665972337943,0.0318839286587224,True,1.2294967567454433e-23,103.68607864267554,2.3705104467064747e-24,-0.0120859972359574,-0.1168650815373106,0.1095146652308043,False
fhs,long,bucket_250_400,2552,142,0.0556426332288401,0.037367362846078,0.0754411684741847,False,0.198567494984151,103.68607864267554,2.3705104467064747e-24,-0.1001749760601978,-0.1530556530486504,-0.0420584067916154,True
fhs,long,bucket_400_plus,1189,37,0.0311185870479394,0.0136382042935751,0.0535156249999999,False,0.0013659868003118,103.68607864267554,2.3705104467064747e-24,-0.0342393446054213,-0.1988437452728739,0.118490939084174,True
fhs,long,forecast_dunkelflaute,3266,46,0.0140845070422535,0.0066952628554454,0.0227975581685661,True,1.8674210825542642e-28,103.68607864267554,2.3705104467064747e-24,-0.1798335481435755,-0.2550946622747958,-0.1296109509339349,True
fhs,long,forecast_renewable_surplus,451,36,0.0798226164079822,0.0394995923998244,0.1247547786720321,False,0.0072613581022449,103.68607864267554,2.3705104467064747e-24,0.6624349477775127,-0.0620714743001549,1.3748522921639958,True
fhs,short,overall,39075,1937,0.0495713371721049,0.0446331859053102,0.054715386501116,False,0.6970384949901482,53.22796428507739,2.970005074797561e-13,0.0136062769659688,-0.02381834133982,0.0563239389150254,False
fhs,short,night,6513,129,0.0198065407646245,0.0147251125981251,0.0250346530425528,True,8.476556723145437e-37,53.22796428507739,2.970005074797561e-13,-0.065834560303856,-0.1464749800979967,0.0328711529982895,False
fhs,short,morning_ramp,3256,271,0.0832309582309582,0.0715601965601965,0.0952088452088452,True,1.5005062622276178e-15,53.22796428507739,2.970005074797561e-13,0.0078166921330256,-0.0459565841007382,0.0645862153790238,False
fhs,short,midday,6512,255,0.0391584766584766,0.0316339066339066,0.0469901719901719,True,3.09992746238095e-05,53.22796428507739,2.970005074797561e-13,-0.0245455600469535,-0.0844246345394103,0.0423204390201476,False
fhs,short,evening_ramp,4884,461,0.0943898443898444,0.0835380835380835,0.1048321048321048,True,3.152511388063414e-37,53.22796428507739,2.970005074797561e-13,0.1273821626577937,0.0548698196768247,0.2067578197604962,False
fhs,short,ramp,8140,732,0.0899262899262899,0.0805896805896805,0.099017199017199,True,1.8362661475866466e-50,53.22796428507739,2.970005074797561e-13,0.0831168040345531,0.0283541732249683,0.1407743360649158,False
fhs,short,bucket_negative,1227,34,0.0277098614506927,0.0156982793117246,0.0416666666666666,True,9.666223199176163e-05,53.22796428507739,2.970005074797561e-13,0.0177084290643301,-0.0929109024190437,0.1344631742032321,True
fhs,short,bucket_0_50,4149,194,0.0467582550012051,0.0365301493642023,0.0580006172839506,False,0.3329589112127155,53.22796428507739,2.970005074797561e-13,-0.049819515148479,-0.106064060411107,0.0067438340870073,False
fhs,short,bucket_50_100,14025,580,0.0413547237076648,0.0357283444751957,0.0473413606896866,True,1.3227061812812244e-06,53.22796428507739,2.970005074797561e-13,-0.0565473244209198,-0.09358969110313,-0.0150431831949978,False
fhs,short,bucket_100_150,10184,596,0.0585231736056559,0.0507753081169912,0.0668636619033278,True,0.000119430934611,53.22796428507739,2.970005074797561e-13,0.0069066308551883,-0.0388346806198311,0.0582143476075716,False
fhs,short,bucket_150_250,5749,363,0.0631414158984171,0.0490580396350687,0.0785420919251596,False,1.079749418234547e-05,53.22796428507739,2.970005074797561e-13,0.1829830206822285,0.0642675346512373,0.312812991965501,False
fhs,short,bucket_250_400,2552,116,0.0454545454545454,0.0295703945387534,0.0627740600223954,False,0.2849240049071377,53.22796428507739,2.970005074797561e-13,0.0175620502934685,-0.1188308074989444,0.1707450513624858,True
fhs,short,bucket_400_plus,1189,54,0.0454163162321278,0.0197252500660899,0.0752986399579298,False,0.4616532267512523,53.22796428507739,2.970005074797561e-13,-0.0807533395102021,-0.1687126712935032,0.0038669462335989,True
fhs,short,forecast_dunkelflaute,3266,219,0.0670545009185548,0.0511145875951589,0.0847130016468721,True,2.040187515623662e-05,53.22796428507739,2.970005074797561e-13,0.2782749305790923,0.0971107132326735,0.4691262366756552,True
fhs,short,forecast_renewable_surplus,451,1,0.0022172949002217,0.0,0.0069930069930069,True,7.31519859845719e-10,53.22796428507739,2.970005074797561e-13,-0.2930914331837705,-0.2930914331837705,-0.2930914331837705,True
